card_id,card_name,expansion,collection_no,stage_type,rule,category,previous_stage,hp,type,weakness,resistance,retreat,attack_count,max_damage,mean_damage,max_damage_per_energy,min_attack_cost,text,move_text,is_pokemon,is_basic,is_stage1,is_stage2,is_trainer,is_energy,is_ex,is_mega_ex,is_ace_spec,has_draw,has_search,has_gust,has_energy_accel,has_damage_boost
1,Basic {G} Energy,SVE,1,Basic Energy,,,,0.0,{G},,,0.0,0,0.0,0.0,0.0,0,,,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2,Basic {R} Energy,SVE,2,Basic Energy,,,,0.0,{R},,,0.0,0,0.0,0.0,0.0,0,,,False,True,False,False,False,True,False,False,False,False,False,False,False,False
3,Basic {W} Energy,SVE,3,Basic Energy,,,,0.0,{W},,,0.0,0,0.0,0.0,0.0,0,,,False,True,False,False,False,True,False,False,False,False,False,False,False,False
4,Basic {L} Energy,SVE,4,Basic Energy,,,,0.0,{L},,,0.0,0,0.0,0.0,0.0,0,,,False,True,False,False,False,True,False,False,False,False,False,False,False,False
5,Basic {P} Energy,SVE,5,Basic Energy,,,,0.0,{P},,,0.0,0,0.0,0.0,0.0,0,,,False,True,False,False,False,True,False,False,False,False,False,False,False,False
6,Basic {F} Energy,SVE,6,Basic Energy,,,,0.0,{F},,,0.0,0,0.0,0.0,0.0,0,,,False,True,False,False,False,True,False,False,False,False,False,False,False,False
7,Basic {D} Energy,SVE,7,Basic Energy,,,,0.0,{D},,,0.0,0,0.0,0.0,0.0,0,,,False,True,False,False,False,True,False,False,False,False,False,False,False,False
8,Basic {M} Energy,SVE,8,Basic Energy,,,,0.0,{M},,,0.0,0,0.0,0.0,0.0,0,,,False,True,False,False,False,True,False,False,False,False,False,False,False,False
9,Boomerang Energy,TWM,166,Special Energy,,,,0.0,{C},,,0.0,0,0.0,0.0,0.0,0,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is discarded by an effect of an attack used by the Pokémon this card is attached to, attach this card from your discard pile to that Pokémon after attacking.",,False,False,False,False,False,True,False,False,False,False,False,False,True,False
10,Neo Upper Energy,TEF,162,Special Energy,ACE SPEC,,,0.0,{A}{A},,,0.0,0,0.0,0.0,0.0,0,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is attached to a Stage 2 Pokémon, this card provides every type of Energy but provides only 2 Energy at a time.",,False,False,False,False,False,True,False,False,True,False,False,False,False,False
11,Mist Energy,TEF,161,Special Energy,,,,0.0,{C},,,0.0,0,0.0,0.0,0.0,0,"As long as this card is attached to a Pokémon, it provides {C} Energy.

Prevent all effects of attacks used by your opponent’s Pokémon done to the Pokémon this card is attached to. (Existing effects are not removed. Damage is not an effect.)",,False,False,False,False,False,True,False,False,False,False,False,False,False,False
12,Legacy Energy,TWM,167,Special Energy,ACE SPEC,,,0.0,{A},,,0.0,0,0.0,0.0,0.0,0,"As long as this card is attached to a Pokémon, it provides every type of Energy but provides only 1 Energy at a time.

If the Pokémon this card is attached to is Knocked Out by damage from an attack from your opponent’s Pokémon, that player takes 1 fewer Prize card. This effect of your Legacy Energy only works once per game.",,False,False,False,False,False,True,False,False,True,False,False,False,False,False
13,Enriching Energy,SSP,191,Special Energy,ACE SPEC,,,0.0,{C},,,0.0,0,0.0,0.0,0.0,0,"As long as this card is attached to a Pokémon, it provides {C} Energy.

When you attach this card from your hand to a Pokémon, draw 4 cards.",,False,False,False,False,False,True,False,False,True,True,False,False,True,False
14,Spiky Energy,JTG,159,Special Energy,,,,0.0,{C},,,0.0,0,0.0,0.0,0.0,0,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If the Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), put 2 damage counters on the Attacking Pokémon.",,False,False,False,False,False,True,False,False,False,False,False,False,False,False
15,Team Rocket's Energy,DRI,182,Special Energy,,,,0.0,{Team Rocket}{Team Rocket},,,0.0,0,0.0,0.0,0.0,0,"This card can only be attached to a Team Rocket’s Pokémon. If this card is attached to anything other than a Team Rocket’s Pokémon, discard this card.

As long as this card is attached to a Pokémon, it provides 2 in any combination of {P} Energy and {D} Energy.",,False,False,False,False,False,True,False,False,False,False,False,False,False,False
16,Prism Energy,BLK,86,Special Energy,,,,0.0,{A},,,0.0,0,0.0,0.0,0.0,0,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is attached to a Basic Pokémon, this card provides every type of Energy but provides only 1 Energy at a time.",,False,False,False,False,False,True,False,False,False,False,False,False,False,False
17,Ignition Energy,WHT,86,Special Energy,,,,0.0,{C}{C}{C},,,0.0,0,0.0,0.0,0.0,0,"If this card is attached to 1 of your Pokémon, discard it at the end of your turn.

As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is attached to an Evolution Pokémon, it provides {C}{C}{C} Energy instead.",,False,False,False,False,False,True,False,False,False,False,False,False,False,False
18,Grow Grass Energy,POR,86,Special Energy,,,,0.0,{G},,,0.0,0,0.0,0.0,0.0,0,"As long as this card is attached to a Pokémon, it provides {G} Energy.
The {G} Pokémon this card is attached to gets +20 HP.",,False,False,False,False,False,True,False,False,False,False,False,False,False,False
19,Telepath Psychic Energy,POR,87,Special Energy,,,,0.0,{P},,,0.0,0,0.0,0.0,0.0,0,"As long as this card is attached to a Pokémon, it provides {P} Energy.
When you attach this card from your hand to a {P} Pokémon, search your deck for up to 2 Basic {P} Pokémon and put them onto your Bench. Then, shuffle your deck.",,False,False,False,False,False,True,False,False,False,False,True,False,True,False
20,Rock Fighting Energy,POR,88,Special Energy,,,,0.0,{F},,,0.0,0,0.0,0.0,0.0,0,"As long as this card is attached to a Pokémon, it provides {F} Energy.
Prevent all effects of attacks used by your opponent’s Pokémon done to the {F} Pokémon this card is attached to. (Existing effects are not removed. Damage is not an effect.)",,False,False,False,False,False,True,False,False,False,False,False,False,False,False
